Site_chainID,Chain,Coarse_fine,Species,SampleID,Collection_date,Date_numeric,OGDryWeight,OG_organic,SampleDryWeight_g,Ave_Prop_organic,AFDM_g,Prop_remaining
3FKW,3,F,KW,215,18-Nov-25,18-Nov-25,5.0696,4.688925652,2.5238,0.822832497,2.076664655,0.442887094
3FKW,3,F,KW,216,4-Nov-25,4-Nov-25,5.0238,4.646564757,2.1884,0.827741151,1.811428734,0.389842567
3FKW,3,F,KW,217,21-Oct-25,21-Oct-25,5.0859,4.704001691,3.2913,0.847445508,2.789197401,0.592941411
3FKW,3,F,KW,218,14-Oct-25,14-Oct-25,5.0443,4.66552542,3.7819,0.880711357,3.330762281,0.713909363
1CKW,1,C,KW,OG,NA,0,5.04114,4.662602703,5.04114,0.924910378,4.662602703,1
1CKW,1,C,KW,219,3-Dec-25,3-Dec-25,5.0833,4.701596924,1.151,0.764787729,0.880270676,0.187228019
1CKW,1,C,KW,220,18-Nov-25,18-Nov-25,5.0005,4.625014345,1.2523,0.799346968,1.001022208,0.216436563
1CKW,1,C,KW,221,4-Nov-25,4-Nov-25,5.0528,4.673387158,0.818,0.75885084,0.620739987,0.13282443
1CKW,1,C,KW,222,21-Oct-25,21-Oct-25,5.0192,4.642310169,1.9786,0.704199437,1.393329007,0.300136991
1CKW,1,C,KW,223,14-Oct-25,14-Oct-25,5.0499,4.670704918,3.7102,0.867737611,3.219480083,0.689292117
2CKW,2,C,KW,OG,NA,0,5.04134,4.662787685,5.04134,0.924910378,4.662787685,1
2CKW,2,C,KW,224,14-Oct-25,14-Oct-25,5.0786,4.697249846,2.8411,0.885273965,2.515151863,0.535452008
2CKW,2,C,KW,225,21-Oct-25,21-Oct-25,5.0531,4.673664631,1.9267,0.810256528,1.561121252,0.334025091
2CKW,2,C,KW,226,4-Nov-25,4-Nov-25,5.0406,4.662103251,2.0693,0.75698057,1.566419893,0.335989962
2CKW,2,C,KW,227,18-Nov-25,18-Nov-25,5.0068,4.630841281,1.3505,0.726400145,0.981003396,0.211841291
2CKW,2,C,KW,228,3-Dec-25,3-Dec-25,5.0276,4.650079416,0.033,0.804195804,0.026538462,0.005707099
3CKW,3,C,KW,OG,NA,0,5.05864,4.678788635,5.05864,0.924910378,4.678788635,1
3CKW,3,C,KW,229,3-Dec-25,3-Dec-25,5.0766,4.695400025,0.3903,0.808654228,0.315617745,0.0672185
3CKW,3,C,KW,230,18-Nov-25,18-Nov-25,5.0302,4.652484183,0.9917,0.697009758,0.691224577,0.148571075
3CKW,3,C,KW,231,4-Nov-25,4-Nov-25,5.053,4.67357214,1.6816,0.767249848,1.290207345,0.276064498
3CKW,3,C,KW,232,21-Oct-25,21-Oct-25,5.0636,4.68337619,2.4681,0.869619093,2.146306883,0.458281974
3CKW,3,C,KW,233,14-Oct-25,14-Oct-25,5.0698,4.689110634,3.5614,0.869125265,3.095302718,0.660104433
